,Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
1337,ABT-199,0.020106707,11165.0,0.811167611,2.353371056,1.4132492
1338,ABT-199,0.020900168,8505.0,0.695866752,1.330976726,0.309779916
1339,ABT-199,0.021170471,10100.0,0.731528626,1.390056796,0.369505466
1340,ABT-199,0.026782241,16927.0,0.767333382,1.224018434,1.115509036
1341,ABT-199,0.022829283,9515.0,0.794431004,1.455630059,0.302505634
1342,ABT-199,0.025332228,19061.0,0.595208414,1.196685102,1.372707261
1343,ABT-199,0.029637271,17597.0,0.83369365,1.353304667,1.714961184
1344,ABT-199,0.025850018,12299.0,0.720040669,1.165021771,0.73863036
1345,ABT-199,0.021334079,14487.0,0.72299318,1.399429167,0.587877061
1346,ABT-199,0.021078576,19226.0,0.847376642,1.739831069,1.225667395
1347,ABT-199,0.027495751,8114.0,0.773493817,1.219157598,0.788614733
1348,ABT-199,0.025450356,8015.0,0.766489226,1.199374781,0.534717295
1349,ABT-199,0.024147996,7894.0,0.72330362,1.417752217,0.4892748
1350,ABT-199,0.024828774,9787.0,0.769218014,1.610569837,0.784281517
1351,ABT-199,0.024302468,13248.0,0.645633366,1.228919214,0.684265003
1352,ABT-199,0.025097384,8668.0,0.80685047,1.217947916,0.520475515
1353,ABT-199,0.023768409,15737.0,0.642541599,1.214685391,0.596138379
1354,ABT-199,0.023984791,16116.0,0.793974249,1.276355982,0.809957114
1355,ABT-199,0.022120898,15745.0,0.558524739,1.206866353,0.537820506
1356,ABT-199,0.030957275,19837.0,0.480306625,2.18822651,5.88879032
1357,ABT-199,0.015587105,13201.0,0.800422486,1.357095166,0.360410254
1358,ABT-199,0.027076089,16525.0,0.8475981,1.733075635,1.09918541
1359,ABT-199,0.018606797,11044.0,0.585333869,3.043294874,0.559042835
1360,ABT-199,0.028510787,22329.0,0.694862732,1.891203823,1.392074718
1361,ABT-199,0.022511092,20017.0,0.51635867,1.169397973,0.582479056
1362,ABT-199,0.024269818,10718.0,0.530456846,1.151926997,0.438261569
1363,ABT-199,0.021574384,18654.0,0.683322589,1.237516441,0.352084365
1364,ABT-199,0.014719255,18531.0,0.651748294,1.204390586,0.312594402
