Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Eccentricity,Nucleus Compactness,Nucleus Texture Variance
control,0.013449476,21715,0.88687355,2.365061683,0.247257592
control,0.012793622,8812,0.808521098,1.444049817,0.155538361
control,0.016354022,10161,0.512444269,1.206363197,0.208413517
control,0.014054811,10923,0.693481599,1.371796231,0.234880572
control,0.011788115,10398,0.724883017,1.21431957,0.227975998
control,0.012495771,10754,0.733024988,1.21326607,0.176225758
control,0.013410601,21675,0.890266096,2.843535227,0.287050674
control,0.014219178,13881,0.703636472,1.224779779,0.328108376
control,0.014271851,17660,0.794614996,1.241802776,0.35131328
control,0.01406508,13459,0.621971176,1.223616069,0.277197702
control,0.012455183,10813,0.708595095,1.202311539,0.192271609
control,0.014029874,16154,0.568034723,1.188104167,0.314810586
control,0.013804517,17855,0.614062651,1.191937942,0.308344232
control,0.01313212,16403,0.840872753,1.438652285,0.2792529
control,0.013041037,14334,0.841865093,1.571336952,0.235108855
control,0.010749026,18046,0.691250308,2.311479681,0.847059031
control,0.013068099,15631,0.67814893,1.240821156,0.218471076
control,0.011392785,8627,0.815284197,1.64293406,0.060086483
control,0.013638167,13785,0.38132257,1.136936513,0.29066989
control,0.01250266,14914,0.648227787,1.16831426,0.290070748
control,0.013187722,10772,0.860857597,1.661700446,0.224851563
control,0.013862717,18131,0.588300754,1.307544766,0.339179702
control,0.017325223,25187,0.624367133,1.170794095,0.575052996
control,0.015346626,17207,0.692051024,1.20580215,0.274827038
control,0.011642991,12258,0.684188295,1.170485182,0.157255782
control,0.014736275,17514,0.743078483,1.24533526,0.319409866
control,0.015384167,15206,0.791341792,1.282298749,0.27100525
control,0.010909133,9874,0.498044181,1.306147112,0.070127781
control,0.016236703,16334,0.688136352,1.169411789,0.399944748
control,0.015717537,16987,0.821231821,1.287627881,0.601410502
control,0.012646149,27250,0.914355553,2.619737528,0.595703377
control,0.01119863,20149,0.580640806,1.27072384,0.209914804
control,0.010767985,20188,0.859304947,1.425623092,0.193928649
control,0.01337726,9895,0.620304674,1.316820131,0.972593197
control,0.01163332,12986,0.813070617,1.63577153,0.25984662
control,0.012023804,14630,0.744588856,1.307668274,0.156721224
control,0.011570118,9994,0.804491168,1.297718206,0.18407437
control,0.01316525,11510,0.706493406,1.206540844,0.289288516
control,0.011610928,8557,0.549253316,1.455433667,0.048388332
control,0.0133458,14446,0.769615516,1.225305735,0.277477678
control,0.011962072,10197,0.556901153,1.184803284,0.047468552
control,0.014229547,17106,0.380452234,1.166460582,0.247887699
control,0.011656052,9928,0.616827395,1.168100528,0.117944113
control,0.015500321,20995,0.759041305,1.720377745,0.514028377
control,0.009659217,10839,0.514430146,1.476456754,0.25029712
control,0.010880349,9321,0.840794928,1.357247099,0.110429959
control,0.011849132,12793,0.692775959,1.185822392,0.097631741
control,0.012631268,13004,0.56875901,1.335173608,0.16954783
control,0.012482064,8362,0.59779105,1.823343233,0.169085991
control,0.012941526,17805,0.714876099,1.265688317,0.27401964
control,0.013044853,9936,0.56378557,1.160978843,0.280216586
control,0.014059792,10439,0.741730854,1.272554156,0.268565725
control,0.014129022,12042,0.681844246,1.635245453,0.303550703
control,0.013903568,10531,0.717271445,1.275102238,0.262848457
control,0.014190773,18254,0.803788767,1.58558545,0.277716073
control,0.017263588,30694,0.800038036,1.558482459,1.962218061
control,0.025647569,25392,0.228247492,1.355049841,15.36206439
control,0.014351956,11006,0.805538005,1.521274745,0.305261906
control,0.015254235,15789,0.663086415,1.167747296,0.334614011
control,0.014597288,15442,0.725931188,1.401979192,0.340875865
control,0.013138746,10016,0.78375122,1.373929851,0.228028076
control,0.016163286,16490,0.675938148,1.174071086,0.278298745
control,0.014503144,16230,0.652490525,1.200217113,0.237306342
control,0.013536359,19789,0.794229771,1.920934844,0.275669632
control,0.014973835,9173,0.758916773,1.227980443,0.246136788
control,0.015977453,14521,0.623286309,1.153862156,0.365698716
control,0.013997618,9871,0.742755997,1.202356003,0.260195108
control,0.012185107,15095,0.603931351,1.131097226,0.17703835
control,0.013023891,9795,0.7150437,1.187339139,0.257011803
control,0.011412523,9025,0.693286343,1.824072609,0.131963302
control,0.012766031,9173,0.489791716,1.2124625,0.18569039
control,0.012690284,12611,0.656682497,1.180220046,0.187419219
control,0.011661281,18323,0.898015531,1.987252285,0.210775312
control,0.011381505,9569,0.751580462,1.292220985,0.134675642
control,0.013028932,10119,0.583337399,1.17879098,0.228691562
control,0.011517267,17862,0.680022824,1.2388585,0.136902566
control,0.014799392,19067,0.554147866,1.144963748,0.258569617
control,0.01047968,13965,0.852471759,1.809179235,0.359817875
control,0.010361729,15573,0.801275506,1.414356022,0.213275542
control,0.011398596,12224,0.745609689,1.294530153,0.171667317
control,0.011770483,14137,0.392214991,1.120365419,0.111276194
control,0.013646125,20638,0.450994763,1.125861024,0.270360539
control,0.01084982,19886,0.763925715,1.406918409,0.233454876
control,0.010488545,12242,0.729086883,1.258076182,0.192555527
control,0.010671033,14000,0.538665956,1.164459611,0.299405873
control,0.012189408,15837,0.68007586,1.395759233,0.145112195
control,0.010457388,14650,0.611510298,1.145413079,0.227027708
control,0.012197162,21950,0.632970331,1.392311796,0.292070722
control,0.0112997,12110,0.784494097,1.214628769,0.149502171
control,0.015332895,11206,0.793793068,1.321624495,0.316697029
control,0.01296445,9736,0.631346618,1.168425107,0.200858386
control,0.012904774,15185,0.570031068,1.328252633,0.228196535
