Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
A13318152,0.012505799,11457,0.431928524,0.184176938,0.18396838,0.184173994,0.183822695,0.184742681
A13318152,0.012819518,12242,0.591126954,0.377129179,0.375758761,0.377518815,0.376410289,0.378828849
A13318152,0.021665981,11520,0.406416836,15.92192601,15.86374198,16.00121453,15.88057835,15.94216919
A13318152,0.024928293,13228,0.499271157,32.82735777,32.69344337,33.02831641,32.72323485,32.86443646
A13318152,0.022000458,17678,0.802142948,45.1510226,44.71335162,45.48830976,45.06243804,45.33999098
A13318152,0.022069393,14283,0.89590138,21.64606803,21.55361694,21.92878768,21.56373621,21.53813128
A13318152,0.011853834,20079,0.660013002,0.050369938,0.050376163,0.049799988,0.051218923,0.050084679
A13318152,0.01818454,23078,0.691105681,6.95150926,6.949670175,6.977526057,6.920781979,6.95805883
A13318152,0.037555632,16190,0.412067375,72.32658517,72.15209085,72.47519838,72.20395225,72.47509918
A13318152,0.01582781,11020,0.451544275,1.864136566,1.862698596,1.867682567,1.860429126,1.865735976
A13318152,0.012187788,11145,0.666824862,0.221575589,0.221263842,0.221237783,0.221989963,0.221810766
A13318152,0.012323556,12045,0.785434016,0.137731783,0.137786428,0.137168338,0.13690635,0.139066017
A13318152,0.020734998,20918,0.599579764,13.74810815,13.72919503,13.80744591,13.68573395,13.77005772
A13318152,0.019337026,30330,0.833802328,10.0888869,10.05029341,10.1369338,10.07406056,10.09425982
A13318152,0.026502773,16289,0.569252283,22.48081382,22.4334634,22.52813731,22.44962199,22.51203258
A13318152,0.012436989,15732,0.480164299,0.172183179,0.172362922,0.171914128,0.171863543,0.172592124
A13318152,0.012134249,19774,0.710502731,0.141337815,0.141681545,0.140885472,0.141188798,0.141595446
A13318152,0.031908278,8442,0.651489509,24.68539729,24.71917006,24.60274279,24.72533153,24.69434476
A13318152,0.023213734,14556,0.434638841,13.56055392,13.54021011,13.58171676,13.53164813,13.58864068
A13318152,0.020658215,11522,0.775037814,5.479696904,5.478845098,5.472673257,5.489892278,5.477376981
A13318152,0.018902115,13038,0.406080461,4.459990348,4.4580869,4.462663672,4.458182804,4.461028015
A13318152,0.016760224,27381,0.848243691,0.846877638,0.858237246,0.836110692,0.846978319,0.846184293
A13318152,0.013085277,16093,0.557235193,0.287394088,0.287234258,0.287176046,0.287517874,0.287648175
A13318152,0.012630815,22311,0.471949747,0.237714937,0.237208797,0.237293733,0.238295712,0.238061504
A13318152,0.016437748,20252,0.513025454,0.674551318,0.67585289,0.674134694,0.682485316,0.66573237
A13318152,0.015068287,28710,0.891448523,8.862040938,8.807042309,8.914731325,8.825398144,8.900991974
A13318152,0.01330019,13749,0.580822637,0.279716889,0.280115565,0.277706025,0.281081034,0.27996493
A13318152,0.020291293,16178,0.637177412,3.527366925,3.534536137,3.529402455,3.535641083,3.509888025
A13318152,0.019675281,11168,0.369498057,10.37127373,10.323186,10.40035985,10.341303,10.42024608
A13318152,0.032996502,8118,0.397565722,51.7106049,51.53328307,51.79523941,51.60973736,51.90415974
A13318152,0.016516063,22228,0.711730008,0.968802375,0.970659843,0.96682882,0.976095118,0.961625717
A13318152,0.03417511,13432,0.534161173,52.55554545,52.50063313,52.65819968,52.41298391,52.65036506
A13318152,0.024211362,10941,0.644198314,14.00692066,13.96665243,14.01590102,13.9958183,14.04931089
A13318152,0.013564033,15767,0.678129203,0.288157359,0.288108514,0.288949754,0.290292283,0.285278883
A13318152,0.015623619,22107,0.796887065,1.410752527,1.409712268,1.411897479,1.408663437,1.412736925
A13318152,0.013037452,17949,0.523871374,0.257672273,0.25803623,0.257662583,0.257433835,0.257556442
A13318152,0.024919923,8015,0.420562651,17.54233585,17.50566671,17.57437578,17.50410694,17.58519396
A13318152,0.010536941,14693,0.616877381,0.10090066,0.101681657,0.100467047,0.101681601,0.099772335
A13318152,0.013652093,16039,0.727361997,0.271364717,0.272581769,0.272468258,0.272104627,0.268304213
A13318152,0.019996172,8975,0.377253577,5.542925427,5.541143709,5.543081325,5.538559617,5.548917058
A13318152,0.016294665,13065,0.54516791,0.648662443,0.654102771,0.643623638,0.658149095,0.638774267
A13318152,0.028051325,12743,0.383069047,66.20973451,65.8891007,66.46603316,65.90511533,66.57868885
A13318152,0.020743337,15706,0.467984935,10.34548051,10.31925019,10.37724578,10.32265493,10.36277115
A13318152,0.016495276,11855,0.647447791,0.627096603,0.636577175,0.612437248,0.62974895,0.629623039
A13318152,0.024540861,22580,0.636017924,33.94153665,33.84836104,34.03656702,33.79658107,34.08463748
A13318152,0.01294065,14588,0.736088796,0.350433486,0.350794071,0.350340111,0.349777202,0.350822559
A13318152,0.01065954,12679,0.588789457,0.106276577,0.106927888,0.105783783,0.106333291,0.106061346
A13318152,0.01314156,18328,0.724761155,0.25760502,0.257386119,0.258110056,0.257158176,0.257765728
A13318152,0.011015642,8674,0.654716862,0.149897588,0.149161144,0.150541661,0.149884827,0.15000272
A13318152,0.025305569,9744,0.302200964,29.94948272,29.81101799,30.06628307,29.84136555,30.07926426
A13318152,0.028081229,10955,0.663260568,39.46464615,39.26167077,39.60902892,39.37459401,39.6132909
A13318152,0.029173668,8142,0.600192182,34.57446877,34.5047223,34.64956552,34.43405533,34.70953194
A13318152,0.027931567,9179,0.364110714,26.27199023,26.21038394,26.31924195,26.21971139,26.33862365
A13318152,0.012386474,23103,0.626516281,0.122409206,0.122262842,0.122462732,0.12213975,0.122771498
A13318152,0.022776706,10703,0.456941116,15.80136512,15.74914522,15.87056404,15.75083189,15.83491934
A13318152,0.027626533,11328,0.41814079,22.09144316,22.06829023,22.11830408,22.06432097,22.11485735
A13318152,0.019352401,8837,0.575854719,1.987371158,1.986188615,1.986317713,1.991902112,1.98507619
A13318152,0.018484557,15603,0.585445962,0.728147956,0.730276599,0.717431371,0.733273655,0.731610199
A13318152,0.025029473,12227,0.582781071,17.76665673,17.71936014,17.8222276,17.70125978,17.82377941
A13318152,0.036613293,12828,0.691997679,41.85415287,41.79030481,41.93234745,41.81435236,41.87960686
A13318152,0.034460929,13782,0.534920886,45.22804978,45.116933,45.33134579,45.17496686,45.28895346
A13318152,0.022554226,13386,0.605097406,2.824190554,2.815848315,2.81557831,2.855038847,2.810296744
A13318152,0.034981028,11178,0.494272072,29.96900746,29.96132883,29.96146864,29.96653408,29.98669827
A13318152,0.032036362,9114,0.643420976,22.14257237,22.1512217,22.11771676,22.15673399,22.14461704
A13318152,0.016960866,10949,0.706637631,0.48134748,0.484572011,0.472299186,0.487993123,0.480525599
A13318152,0.018238698,20904,0.705942713,1.44186098,1.442931294,1.441981394,1.447677322,1.434853911
A13318152,0.018049588,20471,0.670636838,1.030313875,1.041392681,1.017084574,1.032834618,1.029943625
A13318152,0.029867765,20262,0.451309684,49.12251501,48.95484868,49.26343547,48.98045115,49.29132475
A13318152,0.01803496,25723,0.360152735,0.945562819,0.948801003,0.937128246,0.952619379,0.943702648
A13318152,0.017372339,15168,0.613958405,1.525153971,1.523830651,1.529031289,1.525202635,1.522551309
A13318152,0.032223448,10636,0.838923382,38.38937798,38.34692438,38.36769936,38.24322789,38.5996603
A13318152,0.019559791,21944,0.696178916,5.917597781,5.900664706,5.930979013,5.899657485,5.939089919
A13318152,0.014820729,19925,0.859181492,0.204803202,0.207801677,0.199542843,0.20484347,0.207024817
A13318152,0.016982639,26624,0.610973352,0.739723478,0.744274112,0.738240124,0.743475253,0.732904424
A13318152,0.020486959,25583,0.861122867,14.2869019,14.27692183,14.34756611,14.18895529,14.33416436
A13318152,0.026861004,17271,0.833849244,42.19050635,42.13685374,42.33160964,41.81748219,42.47607983
A13318152,0.031217735,21370,0.541765492,32.2325875,32.19014233,32.32121789,32.11424153,32.30474824
A13318152,0.01471401,12409,0.571314661,0.257214815,0.2588714,0.256524906,0.258959221,0.254503732
A13318152,0.013530696,9700,0.643594829,0.242274382,0.241883255,0.242906539,0.242039732,0.242268001
A13318152,0.017160434,25406,0.595316052,1.187678818,1.188552875,1.185461072,1.190138987,1.186562337
A13318152,0.01479489,11453,0.606797778,0.195550385,0.199402711,0.19350159,0.196352956,0.192944282
A13318152,0.023331932,21293,0.531349522,7.87562389,7.874914711,7.875008028,7.875804823,7.876767997
A13318152,0.020200325,19792,0.658342444,4.249798476,4.242833893,4.254810167,4.241768234,4.259781611
A13318152,0.017295964,12682,0.574802583,0.741039416,0.748431187,0.733101185,0.743503188,0.739122102
A13318152,0.020062422,28302,0.82759106,9.156619963,9.153131878,9.183643777,9.101344398,9.188359799
A13318152,0.01432638,9534,0.494957167,0.226038423,0.227761799,0.224253273,0.226967337,0.225171281
A13318152,0.02029149,17973,0.691320918,5.780315361,5.768552651,5.792826134,5.775497094,5.784385564
A13318152,0.017814087,18674,0.530363033,2.714989133,2.711534299,2.71717646,2.708289412,2.722956362
A13318152,0.030237,13612,0.35181614,22.45089704,22.43205409,22.48337805,22.42003355,22.46812246
A13318152,0.014734498,22877,0.586160596,0.309397793,0.309857671,0.308654199,0.309654304,0.309424999
A13318152,0.01670157,20033,0.570281502,0.467821618,0.472135194,0.461012357,0.47132512,0.466813801
A13318152,0.032619254,10026,0.463752639,17.58179867,17.6183459,17.53440358,17.61271545,17.56172974
A13318152,0.015473682,14497,0.197108437,0.362541081,0.365165529,0.360244595,0.365035282,0.359718917
A13318152,0.017566499,26192,0.852579828,3.393293071,3.392754047,3.402348507,3.370596535,3.407473194
A13318152,0.018105962,20353,0.753270942,1.218870271,1.219351869,1.216070072,1.228170743,1.2118884
A13318152,0.014499341,8814,0.654604109,0.184336324,0.185792685,0.180613874,0.187083635,0.183855102
A13318152,0.01448353,9342,0.769141115,0.195755373,0.199452489,0.195314183,0.196934992,0.191319827
A13318152,0.01907836,28408,0.528699755,1.09259517,1.092672483,1.090969161,1.106013152,1.080725884
A13318152,0.027971366,10063,0.752975413,13.82132384,13.82461705,13.83522819,13.81441607,13.81103403
A13318152,0.02206711,30526,0.902602771,10.60963198,10.60896354,10.62183621,10.56065253,10.64707562
A13318152,0.011555962,14639,0.706653546,0.043394638,0.043940891,0.043541659,0.043147182,0.04294882
A13318152,0.016789311,10334,0.685232655,2.536064275,2.53259141,2.539842232,2.533443299,2.538380159
A13318152,0.013590983,10866,0.546623765,0.278360368,0.278152697,0.278814791,0.278157735,0.278316249
A13318152,0.012215841,11217,0.779279817,0.115164415,0.114803845,0.115495771,0.114696729,0.115661313
A13318152,0.02902798,17442,0.601707812,27.99389028,27.96766033,28.02106493,27.94296838,28.04386749
A13318152,0.024967308,23419,0.818252441,38.30891518,38.06404872,38.37348297,38.24992943,38.54819961
A13318152,0.013987254,30452,0.816673824,1.177797938,1.175896159,1.179109956,1.174494904,1.181690732
A13318152,0.018763692,7992,0.688062352,15.29835208,15.20837796,15.23968965,15.18011229,15.5652284
A13318152,0.018326518,18185,0.673492053,1.031717684,1.035521453,1.016363446,1.054522923,1.020462914
A13318152,0.025440753,10368,0.503565497,36.3084321,36.08525089,36.391954,36.19782608,36.55869742
A13318152,0.010653803,8726,0.365164114,0.081886689,0.082306568,0.081165034,0.082399544,0.081675609
A13318152,0.015626678,30261,0.863614478,4.110199523,4.098097774,4.110558096,4.094770851,4.13737137
A13318152,0.015468009,16971,0.42107299,1.639079255,1.637959008,1.641217206,1.637461834,1.639678972
A13318152,0.030470762,17431,0.539736315,32.77686822,32.73558771,32.7991197,32.7382703,32.83449518
A13318152,0.020655381,12665,0.675862279,14.21966226,14.16438999,14.27111147,14.15173781,14.29140978
A13318152,0.013974122,13190,0.116575678,0.300610042,0.302274121,0.299893132,0.301191569,0.299081344
A13318152,0.026261539,8864,0.475725628,19.82529462,19.79897399,19.84455401,19.79436554,19.86328495
A13318152,0.016643201,20646,0.707666177,5.081126651,5.066435517,5.106754407,5.067342961,5.083973718
A13318152,0.012092486,15204,0.699519106,0.091778941,0.091598536,0.091590043,0.092486716,0.091440467
A13318152,0.014205423,12703,0.583527612,0.277456424,0.279764128,0.276526195,0.279270351,0.274265022
A13318152,0.020572729,9193,0.786380349,13.33430659,13.24632401,13.4417089,13.29611956,13.3530739
A13318152,0.029706309,15200,0.529855379,57.67126387,57.4771258,57.78699917,57.4561744,57.9647561
A13318152,0.010736987,10185,0.651533575,0.091957165,0.092668045,0.091552055,0.092056484,0.091552075
A13318152,0.015062435,10421,0.654101221,0.493757747,0.495155001,0.49022251,0.497967798,0.49168568
A13318152,0.020071609,11687,0.521231353,4.27168728,4.267119131,4.279878968,4.266844507,4.272906512
A13318152,0.027641894,19939,0.505980883,33.94802821,33.84928788,33.94825221,33.88718572,34.10738702
A13318152,0.01171954,8335,0.877108961,0.025002822,0.025141093,0.024910288,0.024671363,0.025288545
A13318152,0.011759445,10658,0.498063582,0.01110481,0.011199621,0.011079629,0.011055023,0.011084966
A13318152,0.016151575,17776,0.494571244,0.463495965,0.468867484,0.458012296,0.467097794,0.460006285
A13318152,0.015961404,10841,0.461156581,0.544897279,0.548616436,0.539969828,0.550731964,0.540270888
A13318152,0.014516144,12967,0.518276047,0.199858127,0.20263621,0.196239186,0.202841765,0.197715348
A13318152,0.026216612,14760,0.634095543,28.70082749,28.59242618,28.83386259,28.62785258,28.7491686
A13318152,0.013471306,16745,0.68740334,0.253792637,0.253760633,0.253878605,0.253498982,0.254032328
A13318152,0.014446699,20700,0.57124198,0.25305653,0.254572638,0.250880406,0.254409432,0.252363644
A13318152,0.014847199,28143,0.875075751,1.072375598,1.069970601,1.076717148,1.068886985,1.073927656
A13318152,0.01526859,22875,0.747849515,0.494394772,0.494704574,0.492106129,0.498031563,0.49273682
A13318152,0.030926797,16242,0.664597063,38.78920249,38.66444622,38.8997204,38.75015959,38.84248374
A13318152,0.013559908,9772,0.783786958,0.277192009,0.277150444,0.277671409,0.276801745,0.277144438
A13318152,0.016501734,12736,0.606056786,2.509077687,2.506332742,2.513299479,2.500059021,2.516619504
A13318152,0.033169283,21883,0.496972002,38.05169056,38.02568691,38.08183106,38.01522326,38.084021
A13318152,0.012701376,11740,0.466542184,0.156875905,0.15627547,0.157882945,0.155941341,0.157403862
A13318152,0.030643489,20644,0.281954247,47.07242517,46.95678273,47.21509487,46.94954017,47.1682829
A13318152,0.019253819,25208,0.538934657,8.028437663,8.004415991,8.046452569,8.003452972,8.059429121
A13318152,0.030323594,10276,0.375567704,34.70362675,34.6343627,34.81275256,34.61542711,34.75196463
A13318152,0.016245149,22245,0.747377329,0.463364716,0.469053453,0.456396671,0.466335996,0.461672743
A13318152,0.025596436,14051,0.281544155,23.58065353,23.49548797,23.64162492,23.52101003,23.66449119
A13318152,0.024871091,9034,0.511704557,19.20683237,19.15088151,19.28711465,19.14757075,19.24176256
A13318152,0.028167076,22782,0.557024046,37.42507585,37.31392129,37.50418523,37.3324952,37.54970169
A13318152,0.011747108,10766,0.553449935,0.025431364,0.025319618,0.025328406,0.025384975,0.025692456
A13318152,0.012167598,11204,0.729241428,0.072617116,0.072242196,0.073425606,0.072203052,0.07259761
A13318152,0.0128894,20552,0.50610878,0.186187813,0.185566842,0.186605075,0.185637463,0.186941871
A13318152,0.013202857,24415,0.897344766,0.245376175,0.244690521,0.246346371,0.24478648,0.245681326
A13318152,0.017172982,12629,0.642322233,1.126820217,1.129300959,1.119851913,1.136227438,1.121900559
A13318152,0.013385875,22923,0.636732328,0.246823204,0.246486074,0.247081924,0.246612201,0.247112615
A13318152,0.030183152,23466,0.535070008,42.32979823,42.25694396,42.42618002,42.2041043,42.43196462
A13318152,0.013922708,14267,0.603479505,0.23628315,0.236848213,0.234655832,0.237722566,0.23590599
A13318152,0.012181991,12855,0.469920657,0.115328803,0.115637782,0.115268792,0.115272364,0.115136273
A13318152,0.016284062,24799,0.785984705,2.940965659,2.934525483,2.940608925,2.936925282,2.951802946
A13318152,0.013059592,13465,0.468227004,0.268983815,0.268952317,0.268488895,0.270464414,0.268029635
A13318152,0.02055729,18672,0.557292991,9.853198525,9.823149428,9.87702815,9.839819266,9.872797255
A13318152,0.018129774,8803,0.735511451,18.869608,18.63860227,19.06939035,18.8250132,18.94542618
A13318152,0.024569773,16638,0.338311341,28.65030385,28.53995717,28.75556507,28.55925687,28.74643627
A13318152,0.035168548,9414,0.518279643,54.6112121,54.44397896,54.75219653,54.5246607,54.72401219
A13318152,0.024266323,18781,0.453416251,35.05055923,34.9142281,35.13803808,34.92097214,35.2289986
A13318152,0.036267219,13297,0.367531771,39.40520289,39.42228273,39.38655877,39.43879846,39.37317161
A13318152,0.016929678,30352,0.310371445,1.122648835,1.123920641,1.123975204,1.130087584,1.112611909
A13318152,0.019376063,14919,0.703729616,7.485077748,7.464291147,7.534933981,7.454431229,7.486654636
A13318152,0.020332571,16527,0.742915602,10.63270678,10.57803512,10.65058074,10.62144223,10.68076903
A13318152,0.016664969,27559,0.593550918,1.286851083,1.290721576,1.288492028,1.286353892,1.281836837
A13318152,0.016092473,21135,0.297470637,0.776488544,0.781148275,0.76999792,0.776523863,0.778284116
A13318152,0.012869177,16627,0.317108644,0.259246176,0.259527656,0.25889735,0.25975645,0.258803246
A13318152,0.01976547,18271,0.715955972,9.663245523,9.619802667,9.676936873,9.651122108,9.705120444
A13318152,0.011223888,14239,0.735779613,0.026515535,0.027803951,0.025060817,0.026696236,0.026501135
A13318152,0.03298094,16468,0.335183939,69.29447556,69.09802039,69.51465418,69.08735239,69.47787528
A13318152,0.013347809,11111,0.657744684,0.334919604,0.336724306,0.334798581,0.334836719,0.333318808
A13318152,0.014544346,21562,0.574840518,0.436035371,0.437095881,0.436728667,0.437029224,0.433287713
A13318152,0.01812715,8868,0.533520377,2.674835982,2.680550281,2.671593728,2.677002992,2.670196927
A13318152,0.013536684,13358,0.434603504,0.284612415,0.286593117,0.285291025,0.283955999,0.282609518
A13318152,0.023683069,8121,0.461009135,9.883542654,9.885715066,9.881816367,9.886200001,9.880439181
A13318152,0.03077577,17093,0.470734133,79.93906294,79.6995292,79.94320325,79.59342899,80.52009031
A13318152,0.017229832,9985,0.617056931,2.373125084,2.372704495,2.374431279,2.369849268,2.375515292
A13318152,0.018649004,12185,0.748866446,17.53137001,17.46012266,17.80180179,17.37415532,17.48940027
A13318152,0.022422791,11122,0.731123373,9.068872435,9.044421267,9.066873873,9.06812372,9.096070878
A13318152,0.018067969,26200,0.458522304,4.466072644,4.45764226,4.470761834,4.457808665,4.478077818
A13318152,0.031173653,12816,0.636056318,34.71072328,34.6810394,34.72618804,34.64062981,34.79503588
A13318152,0.02463894,24591,0.692446515,4.548743065,4.561277333,4.53792262,4.594945525,4.500826783
A13318152,0.01356828,20345,0.589569516,0.406049427,0.405215899,0.407506267,0.405031852,0.40644369
A13318152,0.022156614,29495,0.575073326,2.951690668,2.981691714,2.930368135,2.966340756,2.928362066
A13318152,0.017848682,20474,0.74652608,0.832869776,0.850804138,0.828211616,0.833920319,0.818543031
A13318152,0.021325726,29724,0.931584357,15.60929292,15.52420906,15.60727519,15.58438101,15.7213064
A13318152,0.021018783,30126,0.55668064,14.50864841,14.48918625,14.56132356,14.44575576,14.53832808
A13318152,0.013671443,11151,0.798943543,0.26165272,0.261617898,0.261734488,0.261719553,0.261538941
A13318152,0.014375374,15518,0.742749836,0.294043901,0.294204965,0.292979857,0.296744102,0.292246679
A13318152,0.014093392,9100,0.826464234,0.250310741,0.251073802,0.250383079,0.251325582,0.248460499
A13318152,0.013936909,12201,0.634325158,0.240185368,0.241238711,0.239343366,0.240431639,0.239727757
A13318152,0.014615044,14881,0.519609255,0.392088425,0.394136014,0.390524392,0.392951874,0.39074142
A13318152,0.019197957,26672,0.806163185,5.483144057,5.478483406,5.488707192,5.471482737,5.493902893
A13318152,0.020012493,8313,0.271445443,12.29568919,12.24045719,12.37871036,12.22597729,12.33761192
A13318152,0.017755265,21782,0.679770551,0.954388291,0.957973526,0.942614456,0.966670139,0.950295041
A13318152,0.012225677,14286,0.669926116,0.100125402,0.099884645,0.100413273,0.099430628,0.100773061
A13318152,0.029949766,8488,0.69785854,26.7278351,26.69977795,26.77216363,26.71147047,26.72792836
A13318152,0.014130412,19964,0.686449599,0.271182469,0.272458915,0.270595883,0.271719138,0.269955939
A13318152,0.041698709,11271,0.603140617,75.87887416,75.80455706,76.01256393,75.7487148,75.94966085
A13318152,0.017038195,11933,0.672470003,5.018532606,5.005066659,5.04853942,4.986923172,5.033601173
A13318152,0.017454741,23531,0.803346156,8.333226716,8.317609879,8.358959924,8.273855918,8.382481144
A13318152,0.016304563,21613,0.603416186,2.616509504,2.611152464,2.618186018,2.610875176,2.625824357
A13318152,0.011458885,10010,0.798891008,0.009452107,0.009502365,0.009514744,0.009401305,0.009390015
A13318152,0.021689556,10029,0.580846092,9.853707596,9.843521446,9.863015704,9.826785702,9.881507532
A13318152,0.014941588,13328,0.523398767,1.812546317,1.808385992,1.818405279,1.806712287,1.816681708
A13318152,0.012843459,24665,0.696226407,0.200870588,0.200211026,0.201157237,0.20083821,0.201275879
A13318152,0.019579552,12360,0.818511937,11.51632997,11.5073012,11.55880043,11.43100723,11.568211
A13318152,0.016343299,16407,0.575071325,3.530569143,3.519168703,3.537337963,3.52117387,3.544596037
A13318152,0.018190608,28141,0.543928197,0.723745428,0.734065577,0.720160178,0.729695583,0.711060372
A13318152,0.026324624,19663,0.585373159,14.48554484,14.49083928,14.48322685,14.49359729,14.47451592
A13318152,0.012503101,22716,0.640763705,0.153899156,0.153595645,0.154175421,0.153381411,0.154444148
A13318152,0.024726395,11097,0.665620749,12.18192323,12.18644708,12.18035507,12.17900173,12.18188902
A13318152,0.016160802,12390,0.8229784,5.309089565,5.259108922,5.329380395,5.299543173,5.348325768
A13318152,0.01767677,8723,0.753430918,3.945375787,3.930945941,3.950760483,3.94160087,3.958195852
A13318152,0.021609017,11576,0.646563732,10.60024259,10.57218084,10.63138176,10.58703735,10.6103704
A13318152,0.010871878,9776,0.287571992,0.092876587,0.09278086,0.093179457,0.092923957,0.092622075
A13318152,0.024656773,11933,0.567165928,16.74475532,16.71227383,16.7834124,16.6979085,16.78542655
A13318152,0.015106803,14593,0.743415603,2.202859898,2.19176072,2.213844367,2.198832634,2.207001872
A13318152,0.021867813,8924,0.356271249,13.99595033,13.94166319,14.02885209,13.95892551,14.05436051
A13318152,0.012251177,19146,0.703321532,0.141639947,0.141320287,0.141702347,0.141764185,0.141772968
A13318152,0.024093374,12911,0.512181223,20.4087951,20.34653158,20.49279799,20.34071643,20.45513441
A13318152,0.028737416,11788,0.706754389,39.67979766,39.63318168,39.85223768,39.45973361,39.77403765
A13318152,0.016105658,30975,0.779691015,8.196326771,8.15638148,8.247315413,8.166237447,8.215372742
A13318152,0.027143438,10201,0.502096235,64.05924746,63.53208987,64.6602731,63.79161494,64.25301193
A13318152,0.020400581,19307,0.794746739,35.81742458,35.76553857,35.9645607,35.45098451,36.08861454
A13318152,0.013887555,23797,0.413490467,0.354486314,0.354441586,0.354375614,0.354497627,0.354630427
A13318152,0.019087959,12930,0.688593745,6.385895541,6.363789054,6.395766924,6.371844909,6.412181277
A13318152,0.021838036,10946,0.581454987,20.87139868,20.74055421,20.96060228,20.82431745,20.96012076
A13318152,0.010865848,12445,0.495946088,0.06514458,0.065361583,0.063283988,0.066051046,0.065881703
A13318152,0.017542394,15611,0.460382891,5.41484175,5.398754125,5.424220921,5.399877467,5.436514487
A13318152,0.01334198,31306,0.847870473,1.622201884,1.614677761,1.629345882,1.618867619,1.625916272
A13318152,0.022001844,17248,0.417040934,32.53810027,32.36583723,32.72901744,32.39692421,32.66062218
A13318152,0.024485752,14422,0.740460467,34.28238824,34.15032923,34.31298139,34.09606372,34.57017861
A13318152,0.020567815,7968,0.539083959,6.775423114,6.771793301,6.781379262,6.769061424,6.77945847
A13318152,0.012690568,15894,0.453076541,0.197084546,0.19715838,0.19707535,0.196261947,0.197842506
A13318152,0.014570563,15238,0.548649032,0.312365469,0.315245345,0.311024313,0.313241427,0.309950789
A13318152,0.022996866,13004,0.699697372,29.5145655,29.34665578,29.76262182,29.43339991,29.51558447
A13318152,0.014577136,17064,0.618009753,0.297125911,0.298136272,0.296775773,0.299537027,0.294054572
A13318152,0.022193857,12904,0.484430557,17.92184751,17.84118031,18.01913036,17.87987131,17.94720804
A13318152,0.029338566,16601,0.753467784,66.62475902,66.11845198,66.95733716,66.63095519,66.79229174
A13318152,0.017594626,21508,0.358606503,0.706482621,0.717151329,0.698927549,0.713119096,0.696732509
A13318152,0.011962946,10283,0.671878412,0.191860841,0.191463969,0.192091022,0.191871538,0.192016834
A13318152,0.017615974,23041,0.611360799,0.677666209,0.683104028,0.665018487,0.686867806,0.675674513
A13318152,0.016477448,21973,0.678768651,4.919253528,4.894477753,4.936039046,4.910315346,4.936181968
A13318152,0.01205986,12030,0.486581103,0.069171673,0.069029065,0.068943669,0.068822995,0.069890961
A13318152,0.024398371,16517,0.584447893,21.4406957,21.39190619,21.44835107,21.39687262,21.5256529
A13318152,0.015596059,12692,0.424938437,2.402852752,2.395691683,2.410922704,2.396166934,2.408629686
A13318152,0.011963299,7963,0.386788885,0.16393764,0.164328831,0.164274273,0.163864487,0.163282967
A13318152,0.017228953,16557,0.520302125,0.596924241,0.609073952,0.588093523,0.60228318,0.588246309
A13318152,0.012721961,19931,0.530640607,0.231229514,0.230836073,0.231599827,0.230765389,0.231716767
A13318152,0.013360741,12524,0.450266264,0.25665705,0.256499805,0.256862567,0.256652554,0.256613273
A13318152,0.017763246,26039,0.498379723,0.922755634,0.928245095,0.913229192,0.932839443,0.916708804
A13318152,0.016325222,11161,0.849739215,4.868502839,4.862242649,4.902846295,4.82669024,4.882232172
A13318152,0.026597345,13206,0.537172266,21.51632462,21.47430951,21.55349278,21.49394094,21.54355524
A13318152,0.034540261,18689,0.538369091,82.08261365,81.86644209,82.15940081,81.82576843,82.47884328
A13318152,0.018071578,12296,0.73720748,6.991020654,6.963785887,7.038672402,6.966273289,6.995351036
A13318152,0.022275439,12400,0.523565782,17.40253821,17.33772482,17.43479228,17.35263711,17.48499864
A13318152,0.013585952,26004,0.827512342,0.9579699,0.955526889,0.961129009,0.956102559,0.959121142
A13318152,0.030537533,12226,0.49263187,34.82347085,34.75627888,34.89513892,34.7467206,34.89574501
A13318152,0.033401131,13770,0.480245613,95.32389303,94.92194671,95.70171994,94.92671568,95.74518977
A13318152,0.027041196,9416,0.296522754,19.72488547,19.7021841,19.74136976,19.70732782,19.74866018
A13318152,0.01535489,28714,0.804519788,4.55132804,4.541066655,4.5762687,4.526312135,4.56166467
A13318152,0.024288637,11394,0.496392824,13.48298259,13.46594469,13.4967584,13.47617308,13.49305418
A13318152,0.015185647,13591,0.56516662,0.81047047,0.810380997,0.807541385,0.813264475,0.810695022
A13318152,0.014128032,12231,0.255935932,1.010707023,1.007857536,1.013482612,1.007378221,1.014109724
A13318152,0.024977386,15191,0.774512986,15.34533739,15.33631929,15.36431631,15.31740522,15.36330872
A13318152,0.027366914,24910,0.301432167,11.77116638,11.79425161,11.74223439,11.79905684,11.74912269
A13318152,0.022847374,9741,0.662392556,7.011065559,7.024463028,7.010741951,7.029614234,6.979443021
A13318152,0.026421095,16965,0.376187074,19.97277597,19.95226891,19.99429271,19.94922599,19.99531628
A13318152,0.021588907,9538,0.71348653,7.071866662,7.072488946,7.066440875,7.0754869,7.073049928
A13318152,0.011398074,8922,0.57134505,0.045909052,0.046242181,0.045301807,0.046111984,0.045980237
A13318152,0.011107795,16095,0.316730092,0.11532331,0.115259084,0.115737307,0.115388353,0.114908494
A13318152,0.020118163,14734,0.678663447,7.353978615,7.338980489,7.371774494,7.344024128,7.361135348
