Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.029335216,21581,0.567364533,1.54424372,1.54250484,1.542284705,1.557969917,1.534215416
control,0.03339728,18896,0.48584977,3.575164476,3.595002695,3.52024373,3.614546944,3.570864535
control,0.0276921,11989,0.660093405,0.959409432,0.963255069,0.958131306,0.95643944,0.959811914
control,0.016551081,15344,0.620440887,0.256300033,0.255757983,0.253348192,0.258786259,0.257307698
control,0.039159386,21612,0.737250387,2.585838779,2.599613044,2.592414352,2.588850851,2.562476867
control,0.023973261,23967,0.605512662,0.60678343,0.610581431,0.608273261,0.606754339,0.601524687
control,0.068709763,15828,0.465655084,128.8364569,128.7272324,128.9458648,128.7781718,128.8945587
control,0.028266915,14362,0.418529817,1.022206275,1.031283722,1.018113064,1.02859985,1.010828465
control,0.041650986,14098,0.177594248,2.993163404,3.027145498,2.973960608,3.011284789,2.960262719
control,0.039345643,13439,0.536242463,1.78394525,1.807429764,1.769102769,1.791183056,1.768065411
control,0.020889409,14212,0.239505027,0.310608597,0.310181326,0.312029984,0.311124533,0.309098544
control,0.022696184,20749,0.517750659,1.283129595,1.315910065,1.262655361,1.29449395,1.259459004
control,0.019382966,13025,0.721511797,0.706680625,0.727630977,0.691079432,0.706408635,0.701603455
control,0.023030207,18629,0.290164432,0.681691289,0.680399876,0.682360045,0.686896425,0.677108808
control,0.018670646,18483,0.753398696,0.340210636,0.340520265,0.339402443,0.340438102,0.340481732
control,0.01662684,17153,0.535351248,0.227141484,0.226258835,0.229040559,0.228577776,0.224688767
control,0.025658761,21753,0.633069372,4.176449769,4.230650737,4.148989464,4.192866079,4.133292795
control,0.038543613,22522,0.475112083,4.038915375,4.140921469,3.957330051,4.085957878,3.971452102
control,0.015132109,13620,0.727418592,0.104000683,0.106228067,0.100882402,0.104220477,0.104671787
control,0.020259189,18180,0.702362504,1.418555902,1.422851232,1.412596967,1.428060427,1.410714982
control,0.021192645,18472,0.618055767,0.413299924,0.412413732,0.413542519,0.413053516,0.414189931
control,0.019464488,24169,0.440846867,0.76478889,0.770489934,0.759969239,0.77265336,0.756043026
control,0.022293511,21867,0.76509294,0.782873517,0.793529609,0.781368601,0.78490734,0.771688519
