ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9
2,4,Mcf7,nan,0,0,10,nan,6,6,0,0,20240515,7618,16740,1260,1393,1105,1285,1177.475584,1329.760436,2.399185701,9782,0.84093762,98.48623686,1,0.455077658,0.416808086,152.4889898,156.0160248,27.65863337,10.26490141,9.433981132,97.55173382,82.51668308,-78.10482237,479.2447327,0.778777346,0.385656829,0.081674666,0.120580433,0.059740856,0.061628262,0.003368205,0.00251451,0.039925817,0.027678593,0.029730487,0.013570497,0.017628798,0.012895162,0.010382072,0.019182989,0.016959504,0.013170655,0.009555973,0.007112068,0.001344304,0.008511832,0.008953276,0.003482481,0.01655573,0.003247601,0.007604843,0.006436947,0.005390745,0.003515867,0.010590938
2,5,Mcf7,nan,0,0,10,nan,6,6,0,0,20240515,7602,18012,1432,1407,1274,1293,1356.393054,1341.554591,2.887923485,10099,0.89494187,98.38275773,1,0.422051965,0.346269562,157.3677047,157.0795977,30.06659276,10.57835025,9,77.92278053,70.21475589,69.38712738,525.2447327,0.752747797,0.381241034,0.032359451,0.152870883,0.072089182,0.036352672,0.011425946,0.044995533,0.045386804,0.017251961,0.011034969,0.023118971,0.010461963,0.015409518,0.005711163,0.01797922,0.002162601,0.009205344,0.008370115,0.008613628,0.015009877,0.008144541,0.002929386,0.00486063,0.00874669,0.006749314,0.00602208,0.010234279,0.00801084,0.008908998,0.009509037
3,1,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,12993,16704,480,227,336,111,408.7174632,167.3914415,1.297851491,13666,0.641581338,128.6203771,1,0.777837644,0.770504181,148.083076,154.4344521,56.08921465,19.87338024,17.4642492,112.933389,113.5878652,72.08347614,460.3330445,0.950753695,0.691206267,0.073210099,0.172791939,0.065942369,0.020730736,0.004537213,0.035139226,0.010278779,0.010099469,0.024873066,0.013049976,0.016388039,0.011832668,0.017670406,0.007913641,0.006832835,0.011347051,0.004044384,0.012629704,0.002693186,0.001565136,0.006579396,0.003440746,0.000931644,0.006581324,0.015721137,0.004530767,0.005388625,0.002816188,0.007203914
3,2,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,20090,27825,519,447,344,288,429.5456446,372.3252862,1.543813594,21434,0.284543816,159.9355572,1,0.722012579,0.647746596,166.3531648,175.934647,68.68041933,23.91248927,21.02379604,157.0983522,159.47663,-68.07301672,624.2985566,0.937295885,0.77299315,0.006549999,0.152618642,0.013099678,0.014072014,0.052798267,0.061684538,0.012847749,0.010581579,0.010173583,0.0116128,0.015969524,0.007170818,0.007631438,0.010471499,0.010479024,0.005747114,0.019552563,0.009254646,0.007460661,0.006208567,0.007920346,0.002195641,0.006933709,0.007167864,0.011770685,0.009177722,0.003693144,0.003394363,0.001427318
3,3,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,20528,25920,673,514,511,354,593.5711224,432.7650526,1.142154634,20770,0.198273952,161.6696056,1,0.791975309,0.875538189,163.4088794,169.3074127,78.74642849,26.85894988,23.70653918,159,160.1646644,60.80759395,542.8010819,0.98834858,0.903482858,0.035138256,0.083222582,0.00796251,0.02437265,0.013142388,0.060822951,0.004965933,0.005844349,0.010963325,0.006535342,0.007040808,0.035913258,0.005026531,0.005021481,0.001846522,0.001154464,0.001029961,0.002847349,0.004643364,0.014821707,0.005492893,0.004786385,0.002637859,0.003983352,0.007262974,0.002289682,0.000777914,0.002150484,0.001978622
3,4,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,22662,38916,1197,560,990,372,1098.895023,482.3172271,1.98627897,28891,0.660735931,169.865107,1,0.582331175,0.503453953,208.5443431,229.1724242,65.76473219,22.35302153,19,162.7235062,156.5372277,54.58401025,752.0975465,0.784396525,0.549393651,0.056286669,0.182225945,0.055394654,0.02739579,0.035945278,0.002290718,0.007851506,0.025891082,0.012994045,0.029929522,0.017463282,0.007494321,0.014251787,0.025468117,0.007544902,0.017651734,0.018561046,0.009657748,0.006899584,0.005868082,0.005049366,0.011417288,0.004358027,0.001662045,0.003883385,0.002504965,0.00793152,0.005112021,0.00313937
3,5,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,7006,9506,449,592,352,494,400.4577505,541.5776477,1.107032847,7090,0.494094641,94.44742585,1,0.737008205,0.903315563,101.3624163,101.2373449,43.13930922,15.68777915,13.92838828,85.55992052,88.12530815,-43.73447254,312.1909089,0.988152327,0.865494229,0.037988892,0.104732334,0.05096531,0.015910135,0.006086495,0.060962627,0.021296052,0.004423331,0.005535406,0.00980947,0.006883133,0.023244817,0.001892548,0.005774247,0.006467682,0.012564398,0.008543197,0.00514165,0.005937942,0.002820088,0.010012956,0.005238395,0.00355966,0.004671458,0.007779824,0.0020071,0.005137152,0.003244163,0.003611893
3,6,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,11446,17510,667,649,497,546,585.4143806,595.7664686,1.67748481,12580,0.792761503,120.7207514,1,0.653683609,0.596130584,157.1093744,180.8673547,47.42362281,17.31712068,15.26433752,94.23587427,95.76318358,-70.18784258,491.2031022,0.909856916,0.445495669,0.035646237,0.209274528,0.054073307,0.018426336,0.017823696,0.031994213,0.036339049,0.016931852,0.010171506,0.009361958,0.010630833,0.022754518,0.001641708,0.007053706,0.009642506,0.009739456,0.005883561,0.011095636,0.005894683,0.016953246,0.012605047,0.009571354,0.006266894,0.00663113,0.0073696,0.006171081,0.007714076,0.007637579,0.003269723
3,7,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,15860,25752,283,665,109,517,201.1947667,597.1172762,1.359338751,16378,0.849310444,142.1041139,1,0.615874495,0.735651801,199.0740804,193.6620768,50.08991915,19.86848636,18.35755975,103.1926342,105.089955,-56.89617595,520.4995667,0.968372207,0.537342536,0.098460634,0.139004212,0.0877262,0.061927517,0.02548132,0.006726356,0.026297821,0.028394703,0.000641839,0.008667052,0.007823214,0.008135449,0.009291573,0.012602071,0.011696627,0.014371847,0.013353052,0.007661724,0.003940078,0.011120266,0.01181439,0.003769453,0.006496462,0.00554923,0.004040003,0.00500161,0.009113202,0.006118593,0.003658349
3,8,Mcf7,nan,0,0,11,nan,6,6,0,0,20240515,6434,8840,917,780,813,695,864.1779608,735.8995959,1.149632347,6535,0.60300921,90.50979633,1,0.727828054,0.869843305,101.5360647,103.2375901,40.26164428,14.67984578,13,80.59873509,80.99879389,-84.39358777,304.8772004,0.984544759,0.768004135,0.048915405,0.154477013,0.06428874,0.00809156,0.022011032,0.056464536,0.014796843,0.020571656,0.01813373,0.006647569,0.003822733,0.0030289,0.013131984,0.005367108,0.007228907,0.014284601,0.006239507,0.007864245,0.004093026,0.011850309,0.012048459,0.000874549,0.007035027,0.004356057,0.003210269,0.009089168,0.003315588,0.004251014,0.003930162
