ImageNumber,ObjectNumber,Metadata_Cell,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_batch,Metadata_channel,Metadata_hour,Metadata_hour,Metadata_label,Metadata_label,Metadata_time,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,,,,,,,,,,,,,,,,
5,6,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,39680,79152,1761,1630,1470,1358,1594.630998,1504.22437,17.53255429,52249,0.667466008,224.7713174,1,0.501313928,0.057036755,274.9599261,301.1710477,74.79304781,21.96355028,16.7031858,219.6599098,204.7462329,54.22639282,2956.74152,0.759440372,0.557000189,0.10008598,0.160182874,0.039647903,0.041051602,0.01216962,0.007893665,0.027006673,0.011240934,0.01474471,0.014474392,0.010071678,0.013483158,0.01310623,0.005006656,0.002064675,0.008379665,0.00607039,0.013562099,0.001899751,0.005878091,0.003066728,0.003002826,0.008055138,0.002252717,0.007524172,0.003663738,0.002339651,0.005594726,0.002766967,,,,,,,,,,,,,,,,
5,7,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,25788,49500,463,1830,238,1610,349.8128975,1727.238987,12.74923834,35847,0.688857892,181.2023769,1,0.520969697,0.078436058,222.2151882,244.6957294,63.5688603,18.80937974,15,191.2563569,161.0829921,-45.35218571,2032.618541,0.719390744,0.531419383,0.042360001,0.200722573,0.053672349,0.012827932,0.005798516,0.003987122,0.028903389,0.013888197,0.015384564,0.010906662,0.0046974,0.019268432,0.01137362,0.010495885,0.003736597,0.005555353,0.00864929,0.004528087,0.008935709,0.002901152,0.006144187,0.00453813,0.002577415,0.004316583,0.007965614,0.00460752,0.006148421,0.01361029,0.002445132,,,,,,,,,,,,,,,,
5,8,Mcf7,nan,0,0,3,nan,1,1,0,0,20240515,22798,39188,606,1969,412,1767,511.1152733,1873.66848,9.968884557,29307,0.363964641,170.3740448,1,0.581759722,0.100312126,180.7498347,201.3578903,63.90618123,19.65049879,16.1245155,187.2537778,168.3527034,0.606177226,1689.960641,0.77790289,0.684406468,0.034807759,0.188594141,0.017755904,0.007902646,0.011379086,0.056894847,0.009987094,0.008308401,0.0131919,0.011231893,0.005758344,0.003406547,0.006723434,0.011539824,0.001274531,0.002299462,0.005147458,0.005859354,0.004050836,0.012200661,0.00420487,0.00413354,0.001111559,0.005765908,0.004248345,0.006210704,0.007526618,0.007793943,0.003146915,,,,,,,,,,,,,,,,
6,1,Mcf7,nan,0,0,4,nan,1,1,0,0,20240515,55611,96760,1700,699,1405,371,1553.453112,526.103217,11.48747222,67877,0.596086814,266.094202,1,0.574731294,0.087051353,304.0024038,327.299557,100.2646498,31.10455119,25.61249695,263.9120936,244.0896069,24.15478534,2833.332357,0.819290776,0.640485411,0.064087195,0.187376435,0.041204085,0.016952129,0.009983328,0.038495224,0.030039593,0.008311662,0.021169536,0.008967608,0.012701815,0.002713213,0.01517242,0.008554529,0.003612634,0.004756052,0.005011961,0.013634887,0.006640502,0.003946671,0.011321465,0.004305409,0.003293229,0.010297739,0.004631469,0.001305451,0.003505789,0.009230823,0.002065145,,,,,,,,,,,,,,,,
6,2,Mcf7,nan,0,0,4,nan,1,1,0,0,20240515,73168,114580,1513,799,1176,459,1338.550118,630.5325825,8.613461821,84587,0.484638897,305.2218718,1,0.638575668,0.116097339,331.4510949,353.3624202,114.2847321,39.08292375,33.06055051,305.7188465,289.9250187,10.27247625,2814.196318,0.865002896,0.730389613,0.02732417,0.173128785,0.03604465,0.00377635,0.013317719,0.063572804,0.018350748,0.024497911,0.008637708,0.003632693,0.006279241,0.006431995,0.018962023,0.01619849,0.00714954,0.005826739,0.004074753,0.003928777,0.008547389,0.006147956,0.00519407,0.005405148,0.007255194,0.000918211,0.000798745,0.004962745,0.002469272,0.004433551,0.00629092,,,,,,,,,,,,,,,,
6,3,Mcf7,nan,0,0,4,nan,1,1,0,0,20240515,30147,52539,1673,1497,1462,1248,1566.590739,1366.914021,13.05391467,39197,0.521791824,195.9192501,1,0.573802318,0.076605373,219.1509148,252.4836628,75.76938696,21.29961659,16.15549442,206.99077,186.9516961,-2.240232407,2223.808404,0.769114983,0.600982543,0.046741066,0.203336024,0.031724961,0.010037251,0.003167812,0.026494934,0.008227061,0.009200205,0.013330151,0.005656343,0.005403704,0.021631602,0.010494349,0.004188078,0.007403729,0.003272744,0.005900374,0.004060359,0.002877965,0.006803097,0.002870942,0.007206599,0.00568668,0.00188238,0.004540937,0.003211296,0.000641441,0.005010378,0.003664614,,,,,,,,,,,,,,,,
6,4,Mcf7,nan,0,0,4,nan,1,1,0,0,20240515,38095,79104,1529,1659,1273,1350,1394.759233,1523.42478,9.687730879,48781,0.797545831,220.2363741,1,0.48158121,0.103223346,290.9409828,340.3307215,79.15806971,24.60740881,20.24845673,188.4896283,175.5125798,-35.94586059,2153.525179,0.7809393,0.418748232,0.056507646,0.194832663,0.046066291,0.042308935,0.014894777,0.027475545,0.034272272,0.012486927,0.009480805,0.013335368,0.003692568,0.013591706,0.00752535,0.00281578,0.009915275,0.014354349,0.007094341,0.000771962,0.001186088,0.003487991,0.006183852,0.01033674,0.009105042,0.006350191,0.010384837,0.009492657,0.007257199,0.003029259,0.000831682,,,,,,,,,,,,,,,,
6,5,Mcf7,nan,0,0,4,nan,1,1,0,0,20240515,31052,45760,732,1994,524,1774,626.9256409,1889.281367,6.615511024,35897,0.410066762,198.8382115,1,0.678583916,0.151159902,209.7250151,224.5172599,86.21484791,27.92187385,23.70653918,206.5832337,191.2808553,-35.18623647,1606.687517,0.865030504,0.779738957,0.031774097,0.157625546,0.027157352,0.007740996,0.011251536,0.072682168,0.004840797,0.010995917,0.010331196,0.004246432,0.011984369,0.010921405,0.006886403,0.006721188,0.004842764,0.011023218,0.006232468,0.005292716,0.000661618,0.010851477,0.005728889,0.004401039,0.00201867,0.004217226,0.002207333,0.003680074,0.005406831,0.001144594,0.003901993,,,,,,,,,,,,,,,,
7,1,Mcf7,nan,0,0,5,nan,1,1,0,0,20240515,35401,59000,1338,923,1102,673,1215.753764,795.6675235,17.17149251,45928,0.390725216,212.306272,1,0.600016949,0.058236056,229.7600558,252.5569243,82.85529555,23.63758647,18.24828759,232.963255,211.4958232,8.687886333,2763.86432,0.770793416,0.698724169,0.021010327,0.169326695,0.022446631,0.018205972,0.010242937,0.04481529,0.003298992,0.006474825,0.014149683,0.005892478,0.004279996,0.006256487,0.007730022,0.00168183,0.004343807,0.01257726,0.012305133,0.005832249,0.004690133,0.005848094,0.006801489,0.011302068,0.001987749,0.003054026,0.01467289,0.003822314,0.001307753,0.003519253,0.001201593,,,,,,,,,,,,,,,,
7,2,Mcf7,nan,0,0,5,nan,1,1,0,0,20240515,26880,41808,772,1157,571,949,670.9587054,1049.989695,8.315381572,32596,0.192121665,184.9991323,1,0.64293915,0.120259063,190.1462613,219.3125623,77.1621669,23.04402476,18.43908891,191.9213376,186.6040485,-6.576324895,1675.948448,0.82464106,0.711396313,0.010182149,0.186349562,0.004884246,0.006776347,0.004041358,0.064608246,0.009301929,0.01203591,0.001456219,0.008349335,0.006724746,0.002363631,0.005003276,0.00521636,0.006431243,0.007030642,0.003155522,0.000625098,0.008587387,0.012518853,0.005414661,0.005504017,0.00612121,0.004430472,0.005095175,0.007648522,0.003870229,0.011360091,0.002961995,,,,,,,,,,,,,,,,
